กำเนิด	k_am0@2,n_Wt1@6
กำราบ	k_am0@2,r_Ap1@5
จักรวรรดิ	j_ak1@2,kra_1@4,w_at1@9
จัตุรัส	j_at1@2,t_u_1@4,r_at1@7
จำรัส	j_am0@2,r_at1@5
ดำรัส	d_am0@2,r_at1@5
ดำริ	d_am0@2,r_i_1@4
ดิเรก	d_i_1@2,r_Ek1@5
ดิลก	d_i_1@2,l_ok1@4
ตำรวจ	t_am0@2,r_Tt1@5
ตำรับ	t_am0@2,r_ap1@5
ติลก	t_i_1@2,l_ok1@4
บัญญัติ	b_an0@3,y_at1@7
บำราบ	b_am0@2,r_Ap1@5
บุรุษ	b_u_1@2,r_ut1@5
ประมาท	pra_1@3,m_At1@6
ประโยค	pra_1@3,y_Ok1@6
ประโยชน์	pra_1@3,y_Ot1@8
ประวัติ	pra_1@3,w_at1@7
ศิริ	s_i_1@2,r_i_1@4
สำรวจ	s_am4@2,r_Tt1@5
สำเร็จ	s_am4@2,r_et1@6
สิเน่หา	s_i_1@2,n_E_1@5,h_A_4@7
สิริ	s_i_1@2,r_i_1@4
อดิเรก	?_a_1@1,d_i_1@3,r_Ek1@6
อำมาตย์	?_am0@2,m_At1@7
